 ######################################################################
 #Data for Case=          16
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001       328  1.79999995E+00  2.03075785E+00  1.66677017E+00  4.31027266E-02  1.11991760E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  4.68423373E-02  1.16628030E+00
  4.69241003E-02  1.16639352E+00
  4.70058715E-02  1.16650658E+00
  4.70876509E-02  1.16661954E+00
  4.71694384E-02  1.16673234E+00
  4.72512342E-02  1.16684505E+00
  4.73330381E-02  1.16695759E+00
  4.74148502E-02  1.16707004E+00
  4.74966705E-02  1.16718233E+00
  4.75784989E-02  1.16729452E+00
  4.76603356E-02  1.16740655E+00
  4.77421804E-02  1.16751848E+00
  4.78240334E-02  1.16763025E+00
  4.79058946E-02  1.16774193E+00
  4.79877640E-02  1.16785344E+00
  4.80696416E-02  1.16796485E+00
  4.81515274E-02  1.16807611E+00
  4.82334213E-02  1.16818726E+00
  4.83153234E-02  1.16829826E+00
  4.83972338E-02  1.16840916E+00
  4.84791523E-02  1.16851989E+00
  4.85610790E-02  1.16863053E+00
  4.86430139E-02  1.16874101E+00
  4.87249570E-02  1.16885138E+00
  4.88069083E-02  1.16896160E+00
  4.88888678E-02  1.16907172E+00
  4.89708355E-02  1.16918168E+00
  4.90528114E-02  1.16929154E+00
  4.91347955E-02  1.16940123E+00
  4.92167878E-02  1.16951083E+00
  4.92987882E-02  1.16962027E+00
  4.93807969E-02  1.16972961E+00
  4.94628138E-02  1.16983878E+00
  4.95448389E-02  1.16994786E+00
  4.96268722E-02  1.17005677E+00
  4.97089137E-02  1.17016559E+00
  4.97909634E-02  1.17027425E+00
  4.98730213E-02  1.17038280E+00
  4.99550874E-02  1.17049120E+00
  5.00371617E-02  1.17059949E+00
  5.01192442E-02  1.17070763E+00
  5.02013350E-02  1.17081566E+00
  5.02834339E-02  1.17092353E+00
  5.03655411E-02  1.17103131E+00
  5.04476564E-02  1.17113891E+00
  5.05297800E-02  1.17124643E+00
  5.06119118E-02  1.17135377E+00
  5.06940518E-02  1.17146103E+00
  5.07762000E-02  1.17156811E+00
  5.08583565E-02  1.17167510E+00
  5.09405211E-02  1.17178192E+00
  5.10226940E-02  1.17188865E+00
  5.11048751E-02  1.17199521E+00
  5.11870644E-02  1.17210168E+00
  5.12692619E-02  1.17220798E+00
  5.13514676E-02  1.17231418E+00
  5.14336816E-02  1.17242022E+00
  5.15159038E-02  1.17252616E+00
  5.15981342E-02  1.17263193E+00
  5.16803728E-02  1.17273761E+00
  5.17626196E-02  1.17284312E+00
  5.18448747E-02  1.17294854E+00
  5.19271380E-02  1.17305378E+00
  5.20094096E-02  1.17315894E+00
  5.20916893E-02  1.17326392E+00
  5.21739773E-02  1.17336881E+00
  5.22562735E-02  1.17347353E+00
  5.23385780E-02  1.17357816E+00
  5.24208907E-02  1.17368262E+00
  5.25032116E-02  1.17378698E+00
  5.25855407E-02  1.17389118E+00
  5.26678781E-02  1.17399528E+00
  5.27502237E-02  1.17409921E+00
  5.28325775E-02  1.17420305E+00
  5.29149396E-02  1.17430672E+00
  5.29973099E-02  1.17441029E+00
  5.30796885E-02  1.17451370E+00
  5.31620753E-02  1.17461701E+00
  5.32444703E-02  1.17472015E+00
